timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-50-29-874,1761992429.8742497,images/image_2025-11-01_15-50-29-874_0059.jpg,-0.0771,0.2402,1.0251,-20.802,-6.58,0.031,102029.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-30-336,1761992430.3361413,images/image_2025-11-01_15-50-30-336_0060.jpg,-0.0332,0.2295,1.115,-1.16,3.939,-3.969,102030.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-30-761,1761992430.761783,images/image_2025-11-01_15-50-30-761_0061.jpg,-0.0837,0.2722,0.9578,-15.947,10.725,2.58,102030.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-31-237,1761992431.23767,images/image_2025-11-01_15-50-31-237_0062.jpg,-0.0464,0.2859,1.1743,-15.885,-21.885,-19.031,102031.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-31-705,1761992431.7056017,images/image_2025-11-01_15-50-31-705_0063.jpg,-0.1135,0.324,0.8123,-14.282,43.046,0.733,102031.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-32-271,1761992432.2715824,images/image_2025-11-01_15-50-32-271_0064.jpg,-0.1472,0.186,1.0874,-29.908,7.878,-14.802,102032.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-32-853,1761992432.8534477,images/image_2025-11-01_15-50-32-853_0065.jpg,-0.2363,0.2949,1.0349,5.931,16.542,7.756,102032.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-33-463,1761992433.463161,images/image_2025-11-01_15-50-33-463_0066.jpg,-0.158,0.3015,0.9277,21.237,-6.435,-13.588,102033.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-33-956,1761992433.9563246,images/image_2025-11-01_15-50-33-956_0067.jpg,-0.2563,0.3262,0.9041,7.634,2.305,-27.985,102033.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-34-472,1761992434.4724188,images/image_2025-11-01_15-50-34-472_0068.jpg,-0.041,0.1055,1.116,-7.359,-7.023,-16.084,102034.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-35-038,1761992435.0383706,images/image_2025-11-01_15-50-35-038_0069.jpg,-0.1921,0.2676,0.9717,-11.656,-14.992,-30.321,102035.00,N/A,N/A,N/A,N/A,N/A,N/A,V
